name,actor,information,date,star,evaluate,introduction
魂断蓝桥,导演: 茂文·勒鲁瓦 Mervyn LeRoy   主演: 费雯·丽 Vivien Leigh / 罗伯特·...,中国式内在的美国电影。,,8.8,281507人评价,中国式内在的美国电影。
千年女优,导演: 今敏 Satoshi Kon   主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...,爱情是一场没有尽头的虚幻追逐。,,8.8,271735人评价,爱情是一场没有尽头的虚幻追逐。
谍影重重2,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,谁说王家卫镜头很晃？,,8.7,356719人评价,谁说王家卫镜头很晃？
白日梦想家,导演: 本·斯蒂勒 Ben Stiller   主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·...,,,8.6,490985人评价,
哈利·波特与凤凰社,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,,,8.5,578958人评价,
弱点,导演: 约翰·李·汉考克 John Lee Hancock   主演: 桑德拉·布洛克 Sandra Bu...,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,,8.7,313231人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
阿飞正传,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,王家卫是一种风格，张国荣是一个代表。,,8.5,515939人评价,王家卫是一种风格，张国荣是一个代表。
蜘蛛侠：平行宇宙,导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,,,8.6,673825人评价,
谍影重重,导演: 道格·里曼 Doug Liman   主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,,8.6,432101人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
朗读者,导演: 史蒂芬·戴德利 Stephen Daldry   主演: 凯特·温丝莱特 Kate Winslet ...,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,,8.6,456736人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。
燃情岁月,导演: 爱德华·兹威克 Edward Zwick   主演: 布拉德·皮特 Brad Pitt / 安东...,传奇，不是每个人都可以拥有。,,8.7,289568人评价,传奇，不是每个人都可以拥有。
再次出发之纽约遇见你,导演: 约翰·卡尼 John Carney   主演: 凯拉·奈特莉 Keira Knightley / 马克...,爱我就给我看你的播放列表。,,8.6,431088人评价,爱我就给我看你的播放列表。
香水,导演: 汤姆·提克威 Tom Tykwer   主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...,一个单凭体香达到高潮的男人。,,8.5,548316人评价,一个单凭体香达到高潮的男人。
发条橙,导演: 斯坦利·库布里克 Stanley Kubrick   主演: 马尔科姆·麦克道威尔 Malc...,我完全康复了。,,8.6,369290人评价,我完全康复了。
