,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
152,射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本),https://movie.douban.com/subject/1316510/,8.7,644441,导演: 刘镇伟 Jeffrey Lau,主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,中国香港,喜剧 奇幻 武侠 古装
153,花样年华 / 花樣年華 / In the Mood for Love,https://movie.douban.com/subject/1291557/,8.7,616364,导演: 王家卫 Kar Wai Wong,主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,2000,中国香港,剧情 爱情
154,我是山姆 / I Am Sam / 不一样的爸爸(港)  /  他不笨，他是我爸爸(台),https://movie.douban.com/subject/1306861/,9.0,341644,导演: 杰茜·尼尔森 Jessie Nelson,主演: Sean Penn / Dakota Fanning / Mi...,2001,美国,剧情 家庭
155,阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼,https://movie.douban.com/subject/4917726/,8.8,594436,导演: 姜炯哲 Hyeong-Cheol Kang,主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,韩国,剧情 喜剧
156,头脑特工队 / Inside Out / 玩转脑朋友(港)  /  脑筋急转弯(台),https://movie.douban.com/subject/10533913/,8.8,623279,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,2015,美国,喜剧 动画 冒险
157,血战钢锯岭 / Hacksaw Ridge / 钢锯岭  /  钢铁英雄(台),https://movie.douban.com/subject/26325320/,8.7,789890,导演: 梅尔·吉布森 Mel Gibson,主演: 安德鲁·加菲尔德 Andrew Garfield /...,2016,澳大利亚 美国,剧情 传记 历史 战争
158,七武士 / 七人の侍 / 七侠四义(港)  /  七剑客(港),https://movie.douban.com/subject/1295399/,9.3,200878,导演: 黑泽明 Akira Kurosawa,主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,1954,日本,动作 冒险 剧情
159,恐怖直播 / 더 테러 라이브 / 死亡“动”新闻(港)  /  恐怖攻击直播(台),https://movie.douban.com/subject/21360417/,8.7,658863,导演: 金秉祐 Byeong-woo Kim,主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,韩国,剧情 犯罪 悬疑
160,惊魂记 / Psycho / 精神病患者  /  触目惊心(港),https://movie.douban.com/subject/1293181/,9.0,300173,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,主演: 安东尼·博金斯 Antho...,1960,美国,悬疑 惊悚 恐怖
161,黑客帝国3：矩阵革命 / The Matrix Revolutions / 22世纪杀人网络3：惊变世纪(港)  /  骇客任务完结篇：最后战役(台),https://movie.douban.com/subject/1302467/,8.8,451574,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作 科幻
162,你的名字。 / 君の名は。 / 你的名字  /  君之名,https://movie.douban.com/subject/26683290/,8.5,1423800,导演: 新海诚 Makoto Shinkai,主演: 神木隆之介 Ryûnosuke Kamiki / 上...,2016,日本,剧情 爱情 动画
163,电锯惊魂 / Saw / 恐惧斗室(港)  /  夺魂锯(台),https://movie.douban.com/subject/1417598/,8.8,539969,导演: 詹姆斯·温 James Wan,主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑 惊悚 恐怖
164,"三块广告牌 / Three Billboards Outside Ebbing, Missouri / 广告牌杀人事件(港)  /  意外(台)",https://movie.douban.com/subject/26611804/,8.7,828280,导演: 马丁·麦克唐纳 Martin McDonagh,主演: 弗兰西斯·麦克多蒙德 France...,2017,英国 美国,剧情 犯罪
165,达拉斯买家俱乐部 / Dallas Buyers Club / 续命枭雄(港)  /  药命俱乐部(台),https://movie.douban.com/subject/1793929/,8.8,457171,导演: 让-马克·瓦雷 Jean-Marc Vallée,主演: 马修·麦康纳 Matthew McCon...,2013,美国,剧情 传记 同性
166,疯狂原始人 / The Croods / 古鲁家族(港 / 台) ,https://movie.douban.com/subject/1907966/,8.7,846973,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,主演...,2013,美国,喜剧 动画 冒险
167,心迷宫 / 殡棺  /  The Coffin in the Mountain,https://movie.douban.com/subject/25917973/,8.7,528426,导演: 忻钰坤 Yukun Xin,主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑
168,谍影重重3 / The Bourne Ultimatum / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),https://movie.douban.com/subject/1578507/,8.8,423109,导演: 保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2007,美国 德国 法国 英国,动作 悬疑 惊悚
169,上帝之城 / Cidade de Deus / 无主之城(港)  /  无法无天(台),https://movie.douban.com/subject/1292208/,9.0,303980,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,巴西 法国,犯罪 剧情
170,英雄本色 / A Better Tomorrow  /  Gangland Boss,https://movie.douban.com/subject/1297574/,8.6,547495,导演: 吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 动作 犯罪
171,风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,https://movie.douban.com/subject/1291585/,8.9,357719,导演: 宫崎骏 Hayao Miyazaki,主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画 奇幻 冒险
172,纵横四海 / 緃横四海 / Once a Thief,https://movie.douban.com/subject/1295409/,8.8,430353,导演: 吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情 喜剧 动作 犯罪
173,卢旺达饭店 / Hotel Rwanda / 卢安达饭店(台),https://movie.douban.com/subject/1291822/,8.9,333530,导演: 特瑞·乔治 Terry George,主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国 南非 意大利 美国,剧情 传记 历史 战争
174,爱在午夜降临前 / Before Midnight / 情约半生(港)  /  爱在午夜希腊时(台),https://movie.douban.com/subject/10808442/,8.9,408659,导演: 理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,2013,美国 希腊,剧情 爱情
175,海街日记 / 海街diary / 海街女孩日记(港)  /  Kamakura Diary,https://movie.douban.com/subject/25895901/,8.8,454300,导演: 是枝裕和 Hirokazu Koreeda,主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情 家庭
176,绿里奇迹 / The Green Mile / 绿色奇迹(台)  /  绿色英里,https://movie.douban.com/subject/1300374/,8.9,334275,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 汤姆·汉克斯 Tom Hanks / ...,1999,美国,犯罪 剧情 奇幻 悬疑
177,记忆碎片 / Memento / 凶心人(港)  /  记忆拼图(台),https://movie.douban.com/subject/1304447/,8.7,610420,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪 剧情 悬疑 惊悚
178,小丑 / Joker / 小丑起源电影：罗密欧  /  Romeo,https://movie.douban.com/subject/27119724/,8.7,1017493,导演: 托德·菲利普斯 Todd Phillips,主演: 杰昆·菲尼克斯 Joaquin Phoeni...,2019,美国 加拿大,剧情 犯罪 惊悚
179,疯狂的石头 / Crazy Stone,https://movie.douban.com/subject/1862151/,8.6,831640,导演: 宁浩 Hao Ning,主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 中国香港,喜剧 犯罪
180,"背靠背，脸对脸 / 背对背，脸对脸  /  Back to Back, Face to Face",https://movie.douban.com/subject/1307856/,9.5,137235,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,主演: 牛振华 Zhenhua N...,1994,中国大陆 中国香港,剧情
181,岁月神偷 / 歲月神偷 / 1969太空漫游  /  Echoes Of The Rainbow,https://movie.douban.com/subject/3792799/,8.7,577981,导演: 罗启锐 Alex Law,主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港 中国大陆,剧情 家庭
182,雨中曲 / Singin' in the Rain / 万花嬉春(港 / 台) ,https://movie.douban.com/subject/1293460/,9.1,229354,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,主演: 吉恩·...,1952,美国,喜剧 歌舞 爱情
